code,updated_at,roe,gross_margin,debt_ratio,revenue_growth,profit_growth
688115,2026-04-22,1.2,,2.9273,,38.1287
600531,2026-04-22,2.01,,69.761,,4.8919
300843,2026-04-22,2.43,,32.8255,,-34.1018
300077,2026-04-22,1.48,,37.9668,,3.5207
920821,2026-04-22,0.78,,42.9537,,-66.4226
688619,2026-04-22,-0.85,,28.9831,,-1067.4303
600864,2026-04-22,-3.78,,64.5763,,-451.2217
300686,2026-04-22,0.62,,39.3565,,-76.1884
688403,2026-04-22,3.37,,36.3397,,630.4157
688381,2026-04-22,11.02,,9.3697,,100.264
688508,2026-04-22,2.15,,10.7272,,13.3517
301086,2026-04-22,1.74,,11.7241,,5.9957
601231,2026-04-22,3.27,,61.5682,,61.4215
002922,2026-04-22,2.12,,43.1245,,-68.4015
000707,2026-04-22,24.6,,67.9152,,491.3427
688141,2026-04-22,9.05,,47.1572,,59.4065
600208,2026-04-22,1.22,,68.0483,,-2.0399
300017,2026-04-22,0.58,,18.2658,,23.2894
688690,2026-04-22,5.67,,17.0696,,178.8667
300394,2026-04-22,3.43,,8.5468,,17.883
688552,2026-04-22,-2.13,,45.4214,,20.1437
002667,2026-04-22,4.09,,46.1736,,7752.6837
300951,2026-04-22,3.16,,11.1332,,29.8384
002261,2026-04-22,1.14,,20.384,,68.0355
301588,2026-04-22,4.85,,51.3186,,1.8353
688719,2026-04-22,1.51,,55.7918,,27.7777
688676,2026-04-22,1.67,,52.6664,,-11.9799
603328,2026-04-22,1.12,,33.277,,23.05
603039,2026-04-22,0.8,,42.0622,,-41.9482
600186,2026-04-22,1.03,,46.5064,,29.7651
688667,2026-04-22,2.74,,18.1392,,12.3444
002371,2026-04-22,1.2,,44.6418,,197.2763
000902,2026-04-22,4.86,,38.082,,19.684
603217,2026-04-22,4.94,,16.8744,,63.593
000063,2026-04-22,4.13,,69.1394,,-2.3672
600498,2026-04-22,0.28,,64.7611,,10.84
601311,2026-04-22,1.62,,33.1877,,-48.9123
300458,2026-04-22,2.66,,18.2386,,-10.9418
300601,2026-04-22,2.73,,30.634,,987.7139
301392,2026-04-22,9.35,,59.463,,-3.7292
300081,2026-04-22,-1.47,,14.6811,,-781.63
920493,2026-04-22,-12.86,,70.5935,,71.4658
300657,2026-04-22,-2.32,,65.4879,,-279.504
920179,2026-04-22,1.35,,9.9839,,59.7262
600497,2026-04-22,3.56,,37.6627,,49.2472
688597,2026-04-22,0.73,,30.3443,,138.7281
301566,2026-04-22,17.84,,31.9374,,117.4379
920175,2026-04-22,13.84,,23.7601,,119.2621
002176,2026-04-22,26.35,,57.0171,,815.284
603228,2026-04-22,2.35,,46.1312,,-28.9709
300069,2026-04-22,2.3,,35.3033,,2.1223
688037,2026-04-22,3.54,,56.8318,,398.3432
600103,2026-04-22,1.73,,28.8454,,5.1645
300628,2026-04-22,7.14,,7.6175,,30.0535
603026,2026-04-22,12.64,,23.8259,,97.8945
301297,2026-04-22,5.89,,34.0728,,7.8216
688486,2026-04-22,14.11,,16.0847,,-3.5148
002935,2026-04-22,-0.86,,31.4468,,2.1389
301128,2026-04-22,-0.36,,12.2562,,-662.7764
301511,2026-04-22,12.19,,62.5198,,29.4156
688123,2026-04-22,3.6,,6.734,,247.7828
301338,2026-04-22,4.28,,51.652,,-29.4834
002413,2026-04-22,0.51,,22.8806,,52.8987
300737,2026-04-22,1.81,,54.9441,,-40.145
688258,2026-04-22,1.78,,22.543,,-10.916
603985,2026-04-22,0.38,,14.0481,,-90.9443
300496,2026-04-22,2.92,,26.9861,,28.021
300250,2026-04-22,0.48,,20.7814,,22.4507
920181,2026-04-22,22.21,,22.1031,,25.378
300091,2026-04-22,0.07,,52.1032,,-95.8162
601330,2026-04-22,2.61,,67.7398,,-0.6505
300816,2026-04-22,1.54,,51.5385,,-57.7447
301312,2026-04-22,7.75,,14.735,,59.0594
002124,2026-04-22,-24.23,,83.6679,,-442.7788
300925,2026-04-22,2.06,,35.5298,,25.1822
603220,2026-04-22,0.59,,51.4925,,-31.8663
300499,2026-04-22,0.83,,54.249,,79.7656
603139,2026-04-22,0.83,,38.8386,,9.2783
688233,2026-04-22,3.41,,3.7319,,26.6616
300970,2026-04-22,1.84,,24.7049,,-13.2515
300303,2026-04-22,1.81,,40.8946,,-4.7618
688662,2026-04-22,1.83,,20.8259,,5.4257
688658,2026-04-22,1.58,,29.0221,,-8.9727
600776,2026-04-22,0.17,,19.1181,,10.6054
301379,2026-04-22,12.46,,52.8226,,-0.9395
688208,2026-04-22,2.15,,30.4635,,-42.4809
301169,2026-04-22,-1.78,,14.96,,-127.2409
300548,2026-04-22,2.29,,19.067,,1.254
600686,2026-04-22,0.1,,80.5391,,107.9087
688222,2026-04-22,-0.54,,22.0276,,-222.5964
688036,2026-04-22,5.35,,53.4948,,-0.3943
688328,2026-04-22,0.72,,41.7309,,-51.981
603130,2026-04-22,10.74,,61.8626,,11.6074
